x,y,z
-0.972151,0.366766,-0.633809
-0.781168,0.057749,-1.133809
-0.781168,0.057749,-0.133809
-0.781168,0.675783,-1.133809
-0.781168,0.675783,-0.133809
-0.780823,-0.133021,-0.633809
-0.780823,0.866553,-0.633809
-0.472151,-0.442251,-0.942826
-0.472151,-0.442251,-0.324792
-0.472151,1.175783,-0.942826
-0.472151,1.175783,-0.324792
-0.471938,0.366766,-1.442481
-0.471938,0.366766,0.174863
-0.281168,-0.133234,-1.442826
-0.281168,-0.133234,0.175208
-0.281168,0.866766,-1.442826
-0.281168,0.866766,0.175208
0.027849,-0.633234,-0.633809
0.027849,-0.441906,-1.133596
0.027849,-0.441906,-0.134023
0.027849,0.366766,-1.633809
0.027849,0.366766,0.366191
0.027849,1.175438,-1.133596
0.027849,1.175438,-0.134023
0.027849,1.366766,-0.633809
0.336866,-0.133234,-1.442826
0.336866,-0.133234,0.175208
0.336866,0.866766,-1.442826
0.336866,0.866766,0.175208
0.527635,0.366766,-1.442481
0.527635,0.366766,0.174863
0.527849,-0.442251,-0.942826
0.527849,-0.442251,-0.324792
0.527849,1.175783,-0.942826
0.527849,1.175783,-0.324792
0.836521,-0.133021,-0.633809
0.836521,0.866553,-0.633809
0.836866,0.057749,-1.133809
0.836866,0.057749,-0.133809
0.836866,0.675783,-1.133809
0.836866,0.675783,-0.133809
1.027849,0.366766,-0.633809
